NMDS1,NMDS2,NMDS3,Treatment,Timepoint,trt_tp
-0.6987282033164577,0.01484386042320943,-0.05260724130183403,2spp,t4,2spp_t4
-0.6551331314588217,-0.07688908712853434,0.5153353214910209,F+WM,t4,F+WM_t4
-0.386859129035802,0.18901021598608542,-0.23230799715028252,Tr,t4,Tr_t4
0.6953611468438502,-0.07780711292933154,0.12926736149934115,CC,t4,CC_t4
0.4738194092218305,0.07497725397105676,0.24681407481781317,2spp+WM,t4,2spp+WM_t4
-0.1851508743723934,0.11557355065391023,0.15780568152471058,2spp+WM,t4,2spp+WM_t4
0.1177441170574879,-0.1277225326921539,-0.14116472839969185,F+WM,t4,F+WM_t4
0.8098133766349932,-0.04896882464092108,-0.10567337273775491,Tr,t4,Tr_t4
0.7121054587811257,-0.6180977921718043,0.015004560148337986,CC,t4,CC_t4
0.19101346923001802,-0.1919214386934455,-0.10427006403492488,2spp,t4,2spp_t4
-0.6570640805379085,0.11121904555712388,-0.6090654425552793,F+W,t4,F+W_t4
0.912851331967676,-0.14634855096705282,0.13494012348283163,Tr+WM,t4,Tr+WM_t4
0.9707725638576671,0.30421206419815794,0.5532458408979924,CC+WM,t4,CC+WM_t4
0.13049961671452387,0.2003117872646296,-0.1576888376094147,F+WM,t4,F+WM_t4
-0.25660687709758323,-0.8636426733701292,-0.6265377462745794,Tr,t4,Tr_t4
0.8174624736212804,0.40115366968228405,-0.13916519344006062,CC+WM,t4,CC+WM_t4
0.6739649299724547,-0.17600727915347883,0.13147960321634378,2spp,t4,2spp_t4
-0.3123882411635067,-0.27573181169149996,-0.4370918387148783,F+W,t4,F+W_t4
-0.07956797267559537,-0.1999994890785133,0.46263951468727876,Tr+WM,t4,Tr+WM_t4
0.36276961107378264,0.4845965900058777,0.20235220414736851,CC,t4,CC_t4
-0.23667908274762126,-0.044970123925787746,-0.3926352844121172,2spp+WM,t4,2spp+WM_t4
-0.2239770790355282,1.2336860339048634,0.3217289878225192,Tr+WM,t4,Tr+WM_t4
-0.1762835475730531,0.38297060537023625,0.15486611272173928,2spp+WM,t4,2spp+WM_t4
-0.05774707517269806,-0.03597754198591102,0.07447075165799812,CC,t4,CC_t4
